//  GERMAN STRDAT.TXT latest version with all the changes up to Sept 18th (I hope)

//  ASCII European Special Characters
//  Ä ¸ Ç É ‰ ...  á à  ä  ç ƒ  ê  " ï - -  ÷ ‹    ° ¢ £  ﬂ
//  WIN European Special Characters
//  « ¸ È ‚ ‰ ‡  Á Í  Ë  Ï ƒ  …  ˆ Ú ˚ ˘  ÷ ‹  ﬂ Ì Û ˙  ﬂ

//  # the first NEWBLOCK is built for you so start with enumerations and strings
//  GERMAN VERSION ¸berarbeitet am 2.7.97 von Antje, 16:45 Uhr
//  last revised by Antje 9.7.97, LAST EDITED with additional translations August 26th 97
//  (additional data from birthright cd dated 8/17/97, saved as ms dos text
//  3 more changes according to bugreport from sascha implemented August 29th 97
// comparing german strings to english strings (received sept 18th), saved as text only



// menu data
STR_UI_ACTN		UI\\ACT_PNL.PCX
STR_UI_HELP		UI\\HELPPNL1.PCX
STR_UI_HELP1	UI\\HLPPANL2.PCX
STR_MULTIMENU_SEL	W‰hlen Sie die Spielumgebung.
STR_MULTIMENU_INT	Internet (Sierras Warteraum)
STR_MULTIMENU_LA	Lok. Netzwerk oder Modem
STR_MULTIMENU_WP	Zur Birthright Web-Seite
STR_MULTIMENU_SP	W‰hlen Sie das Verbindungsprotokoll.

STR_MULTIMENU_JG	Einklinken
STR_MULTIMENU_DN	Klicken Sie auf Fertig, um zu beginnen.
STR_MULTIMENU_SJ	Wo mˆchtenSie Sie mitmachen.
STR_MULTIMENU_NP	Spieleranzahl (2-8):

STR_MULTITYPE_SEL		Spielmodus
STR_MULTITYPE_NEW		Neues Spiel
STR_MULTITYPE_LOAD	Spiel laden
STR_MULTITYPE_BATTLE	Schlacht

STR_MULTIMENU_HELP_SEL_TEXT	Suchen Sie sich eine Spielumgebung f¸r ein Multiplayer-Spiel aus. Oder w‰hlen Sie die Birthright Web-Seite f¸r weitere Birthright-Informationen, wenn Sie einen Internet-Zugang haben.
STR_MULTIMENU_HELP_YN_TEXT	Geben Sie den Namen ein, unter dem Sie spielen mˆchten.
STR_MULTIMENU_HELP_SP_TEXT	W‰hlen Sie, was f¸r ein Netzwerkprotokoll bzw. was f¸r eine Modemverbindung Sie w¸nschen, um Kontakt mit anderen Spielern aufzunehmen.
STR_MULTIMENU_HELP_NGP_TEXT	Geben Sie einen Namen f¸r dieses Spiel ein.
STR_MULTIMENU_HELP_NP_TEXT	Geben Sie ein, wie viele Spieler hˆchstens mitmachen kˆnnen.
STR_MULTIMENU_HELP_SJ_TEXT	W‰hlen Sie aus, bei welchem Spiel Sie mitmachen mˆchten.

STR_MULTITYPE_HELP_SEL_TEXT	W‰hlen Sie, ob Sie ein neues Spiel beginnen mˆchten oder ein gespeichertes Spiel laden wollen. In beiden F‰llen m¸ssen sich die Spieler zun‰chst ein Land aussuchen.


STR_MULTITYPE_WAIT	Warte auf Spieltyp.

STR_FILETRANS_REC	Empfange gespeichertes Spiel %d\%.
STR_FILETRANS_SEND	Sende gespeichertes Spiel %d\%.

STR_HELP_TITLE	Hilfe
STR_HELP_1	W‰hlen Sie ein Thema.
STR_HELP_3	Tastatur¸bers. Abenteuer
STR_HELP_4	Tastatur¸bers. K‰mpfe
STR_HELP_5	Reichsverw.-Tutorial
STR_HELP_6	Abenteuer-Tutorial
STR_HELP_7	Schlachten-Tutorial
STR_HELP_8	^F02 
STR_HELP_9A	So wird gespielt

STR_HELP_9	^F03^W262Anleitung: siehe Tastatur¸bersicht oder Tutorial. Sie kˆnnen auch jedes Icon mit der rechten Maustaste anklicken.
STR_HELP_10	F03^W262F¸r optimale Leistung und die Wahl des Schwierigkeitsgrads hier klicken. 

STR_SM1_1	Spielstand speichern ...
STR_SM1_2	Spielstand laden ...
STR_SM1_3	Video ...
STR_SM1_4	Sound ...
STR_SM1_5	Pause
STR_SM1_6	Beenden

STR_SM2_1	Speichern-Men¸
STR_SM2_2	FIRST.SAV

STR_SM3_1	Laden-Men¸
STR_SM3_2	FIRST.SAV

STR_SM4_1	Grafik-Men¸
STR_SM4_2	Hohe Auflˆsung
STR_SM4_3	Niedrige Auflˆsung
STR_SM4_4	Automatisch

STR_SM5_1	Sound-Men¸
STR_SM5_2	Sound ein-/ausschalten

STR_HELP_PREV	^C125Z^C000ur¸ck
STR_HELP_NEXT	^C125W^C000eiter
STR_HELP_DONE	^C125F^C000ertig
STR_HELP_MOREINFO	^C125M^C000ehr Infos 

STR_HELP1_PREV	Zur¸ck
STR_HELP1_NEXT	Weiter
STR_HELP1_DONE	Fertig

STR_MAIN1_RETURN	^C125Z^C000ur¸ck zum Spiel
STR_MAIN1_NEW	^C125N^C000eues Spiel beginnen
STR_MAIN1_LOAD	Spielstand ^C125l^C000aden
STR_MAIN1_SAVE	Spielstand ^C125s^C000peichern
STR_MAIN1_OPTIONS	^C125O^C000ptionen
STR_MAIN1_MULTI	^C125M^C000ultiplayer-Modus
STR_MAIN1_HELP	Hilfe (F1)
STR_MAIN1_QUIT	^C125V^C000erlassen



STR_MAIN1_YN_QUESTION_NEW	Wirklich ein neues Spiel beginnen?
STR_NEW_GAME	Neues Spiel


STR_MAIN1_HELP_RETURN_TITLE	Zur¸ck zum Spiel
STR_MAIN1_HELP_RETURN_TEXT	Klicken Sie hier mit der linken Maustaste, um an die aktuelle Position im Spiel zur¸ckzukehren.
STR_MAIN1_HELP_NEW_TITLE	Neues Spiel beginnen
STR_MAIN1_HELP_NEW_TEXT	Mit diesem Button kˆnnen Sie einen Spieltyp w‰hlen. Zur Auswahl stehen: Zusammenfassung - erkl‰rt die wichtigsten Funktionen. Tutorial - zeigt, wie Sie Ihr Reich regieren. Volles Spiel - Birthright mit allen seinen Funktionen. Nur Abenteuer - Spielmodus zum Erforschen von Abenteuer-St‰tten. Nur Schlachten - Spiel mit 30 Schlacht-Szenarien. Historischer Hintergrund - Eine kurze Biographie des letzten groﬂen Kaisers von Anuire.
STR_MAIN1_HELP_LOAD_TITLE	Gespeichertes Spiel laden.
STR_MAIN1_HELP_LOAD_TEXT	Mit diesem Button kˆnnen Sie ein Spiel laden, das Sie fr¸her gespielt und gespeichert haben. W‰hlen Sie den Namen der Datei aus der Liste, und klicken Sie dann auf Laden.
STR_MAIN1_HELP_SAVE_TITLE	Aktuelles Spiel speichern
STR_MAIN1_HELP_SAVE_TEXT	Mit diesem Button kˆnnen Sie das aktuelle Spiel speichern. Geben Sie einen Dateinamen (8 Zeichen) ein, und klicken Sie dann auf Speichern. Hinweis: Sie kˆnnen w‰hrend Schlachten, Abenteuern oder der Berichterstattung Ihrer Berater nicht speichern.
STR_MAIN1_HELP_OPTIONS_TITLE	Optionen
STR_MAIN1_HELP_OPTIONS_TEXT	Klicken Sie auf diesen Button, um das Spiel Ihrem Computersystem anzupassen. Spieleinstellungen - W‰hlen Sie zwischen leicht, mittel und schwer. Schlachten-Einstellungen - W‰hlen Sie Schwierigkeit und Geschwindigkeit der K‰mpfe auf dem Schlachtfeld. Abenteuer-Einstellungen - W‰hlen Sie die Geschicklichkeit der Gegner, den Kampfmodus, die Geschwindigkeit und die Standardeinstellung f¸r die Kamera. Musik und Sound - W‰hlen Sie Anzahl der Sound-Kan‰le, Musik- und Soundeffektlautst‰rke. Bildschirmgrˆﬂe - W‰hlen Sie die Werte f¸r den sichtbaren Bildschirmausschnitt, automatische Auflˆsungseinstellung und DirectDraw (nur unter Win95).
STR_MAIN1_HELP_MULTI_TITLE	Multiplayer-Modus
STR_MAIN1_HELP_MULTI_TEXT	Hiermit kˆnnen Sie w‰hlen, wie Sie spielen mˆchten, wenn Sie zu mehreren sind: ¸ber Modem, Netzwerk oder Internet.
STR_MAIN1_HELP_HELP_TITLE	Hilfe
STR_MAIN1_HELP_HELP_TEXT	Dieser Button ˆffnet ein neues Fenster, in dem Sie sich die Tastatursteuerung f¸r Reichsverwaltung, Abenteuer und Kampf ansehen kˆnnen. F¸r jede dieser drei Kategorien gibt es hier auch ein Tutorial. ‹ber den Button Geschichte und Atlas erfahren Sie mehr ¸ber die Welt von Anuire. Der letzte Button erkl‰rt die Regeln des Computerspiels.
STR_MAIN1_HELP_QUIT_TITLE	Verlassen
STR_MAIN1_HELP_QUIT_TEXT	Klicken Sie hier, wenn Sie Birthright beenden mˆchten.

NEWBLOCK

STR_CHOOSE_REALM	^F08^W360W‰hlen Sie ein Reich.
STR_REALM_SELECTION	^F13^N^C125R^C000eich w‰hlen

STR_3PT_CHARACTER	^F03Charakter
STR_3PT_BEGIN_RULE	^F03Regieren

STR_REALM_DATA_FIELDS	^C001Herausf.:\nStil:\nProvinzen:\nEinkommen:\nOrdnungskr.:\nGilden:\nTempel:\nQuellen:\nBurgen:\nTruppen:\nVerb¸ndete:

STR_REALM_DATA_AERENWE	^C001Mittel \nHandel \n7 \n15\n7 \n- \n- \n- \n1\n4 \n^C188Roesone
STR_REALM_DATA_ALAMIE	^C001Sehr schwer\nMilit‰r\n7 \n2 \n6 \n- \n- \n- \n2\n9 \nKeine
STR_REALM_DATA_BARUKAZHIK	^C001Leicht \nMilit‰r\n5 \n14\n5 \n14\n- \n- \n1\n10\nKeine
STR_REALM_DATA_BROSENGAE	^C001Mittel \nTempel \n3 \n25\n3 \n9 \n2 \n- \n1\n5 \n^C064Avanil
STR_REALM_DATA_CARIELE	^C001Mittel \nHandel \n3 \n24\n3 \n17\n- \n- \n1\n7 \nKeine
STR_REALM_DATA_COERANYS	^C001Leicht \nTempel \n7 \n27\n7 \n- \n15\n- \n1\n5 \nKeine
STR_REALM_DATA_DHOESONE	^C001Sehr leicht\nMagie \n12\n7 \n14\n- \n- \n14\n1\n9 \n^C064Tuarhievel\n^C188Thurazor
STR_REALM_DATA_DIEMED	^C001Mittel \nMilit‰r\n6 \n7 \n7 \n- \n- \n- \n1\n8 \nKeine
STR_REALM_DATA_ELINIE	^C001Schwer \nHandel \n7 \n1 \n7 \n- \n- \n- \n1\n7 \nKeine
STR_REALM_DATA_ENDIER	^C001Leicht \nHandel \n1 \n28\n5 \n11\n- \n11\n-\n5 \nKeine
STR_REALM_DATA_ILIEN	^C001Mittel \nMagie \n1 \n9 \n1 \n- \n- \n9 \n1\n4 \n^C188Medoere\n^C188Roesone
STR_REALM_DATA_MEDOERE	^C001Mittel \nTempel \n3 \n7 \n3 \n- \n4 \n- \n1\n7 \n^C188Ilien,^C188Roesone
STR_REALM_DATA_ROESONE	^C001Mittel \nMilit‰r\n7 \n3 \n7 \n- \n- \n- \n1\n11\n^C188Aerenwe\n^C188Ilien\n^C188Medoere
STR_REALM_DATA_SIELWODE	^C001Schwer \nMagie \n9 \n8 \n9 \n- \n- \n9 \n2\n8 \n^C188Rhuobhe\n^C188Tuarhievel
STR_REALM_DATA_TAEGHAS	^C001Schwer \nHandel \n8 \n13\n1 \n- \n- \n17\n1\n5 \n^C064Avanil
STR_REALM_DATA_TALINIE	^C001Mittel \nMagie \n7 \n31\n6 \n- \n13\n10\n1\n8 \n^C188Boeruine
STR_REALM_DATA_TUARHIEVEL	^C001Schwer \nMagie \n7 \n0 \n7 \n4 \n- \n6 \n1\n12\n^C064Dhoesone\n^C188Rhuobhe\n^C188Sielwode
STR_REALM_DATA_TUORNEN	^C001Schwer \nHandel \n8 \n8 \n8 \n- \n- \n- \n1\n8 \nKeine	
STR_REALM_DATA_BOERUINE	^C001Nicht-Spieler-Reich
STR_REALM_DATA_SPIDERFELL	^C001Nicht-Spieler-Reich
STR_REALM_DATA_THURAZOR	^C001Nicht-Spieler-Reich
STR_REALM_DATA_ANUIRE	^C001Nicht-Spieler-Reich
STR_REALM_DATA_AVANIL	^C001Nicht-Spieler-Reich
STR_REALM_DATA_CHIMAERON	^C001Nicht-Spieler-Reich
STR_REALM_DATA_FIVEPEAKS	^C001Nicht-Spieler-Reich
STR_REALM_DATA_GHOERE	^C001Nicht-Spieler-Reich
STR_REALM_DATA_GORGONSCROWN	^C001Nicht-Spieler-Reich
STR_REALM_DATA_MARKAZOR	^C001Nicht-Spieler-Reich
STR_REALM_DATA_MHORIED	^C001Nicht-Spieler-Reich
STR_REALM_DATA_MIERES	^C001Nicht-Spieler-Reich
STR_REALM_DATA_MONSTERS	^C001Nicht-Spieler-Reich
STR_REALM_DATA_MURKILAD	^C001Nicht-Spieler-Reich
STR_REALM_DATA_OSOERDE	^C001Nicht-Spieler-Reich
STR_REALM_DATA_RHUOBHE	^C001Nicht-Spieler-Reich

STR_CHARACTER	^F13^NCharakter
STR_STATUS	^F13^NStatus
STR_RULE	^F03 ^C125B^C000eginnen
STR_INV	^F03 ^C125I^C000nventar

STR_UNDO1	R¸ckg‰ngig
STR_ROLL1	W¸rfeln
STR_CANCEL1	Abbruch
STR_DONE1	Fertig
STR_START1	Start
STR_YES1	Ja
STR_NO1	Nein
STR_BACK1	Zur¸ck
STR_MENU_BUG_OUT	Dieses Abenteuer beenden?

STR_LB_SET_HIGHLIGHT	Wie markiert ¸bernehmen
STR_LB_SCROLL_UP	Aufw‰rts scrollen
STR_LB_SCROLL_DOWN	Abw‰rts scrollen

STR_AVA_ATT_ANIM	^F03Ani^C125m^C000ieren
STR_AVA_ATT_DONE	^F03^C125F^C000ertig
STR_AVA_ATT_CLASS	^F02Klasse:
STR_AVA_ATT_LEVEL	^F02Stufe:
STR_AVA_ATT_BLOOD	^F02Blutlinie:
STR_AVA_ATT_ALIGN	^F02Ausrichtg.:
STR_AVA_ATT_STR	^F02St‰rke:
STR_AVA_ATT_INT	^F02Intelligenz:
STR_AVA_ATT_DEX	^F02Geschickl.:
STR_AVA_ATT_WIS	^F02Weisheit:
STR_AVA_ATT_CON	^F02Konstitution:
STR_AVA_ATT_CHA	^F02Charisma:
STR_AVA_ATT_THA	^F02THAC0:
STR_AVA_ATT_THA2	^F02Angriffsgesch.:
STR_AVA_ATT_EXP	^F02Erfahrung:
STR_AVA_ATT_ARM	^F02R¸stungskl.:
STR_AVA_ATT_ARM2	^F02Schutzst.:
STR_AVA_ATT_HIT	^F02Trefferpkt.:
STR_AVA_ATT_HP	^F02Derzeitige TP:

STR_STRENGTH_DESCRIPTIONS_BASE	Beeindruckend
STR_STRENGTH_DESCRIPTIONS_1851	Heldenhaft
STR_STRENGTH_DESCRIPTIONS_1876	Erstaunlich
STR_STRENGTH_DESCRIPTIONS_1891	Monstrˆs
STR_STRENGTH_DESCRIPTIONS_1800	Oger
STR_STRENGTH_DESCRIPTIONS_19	Riese
STR_STRENGTH_DESCRIPTIONS_20	Steinriese
STR_STRENGTH_DESCRIPTIONS_21	Feuerriese
STR_STRENGTH_DESCRIPTIONS_22	Frostriese
STR_STRENGTH_DESCRIPTIONS_23	Wolkenriese
STR_STRENGTH_DESCRIPTIONS_24	Sturmriese
STR_STRENGTH_DESCRIPTIONS_25	Titan

STR_AVA_INV_PREPARE_SPELLS	^F13^N^C125M^C000agie ^C125v^C000orbereiten
STR_AVA_INV_INV	^F13^N^C125I^C000nventar
STR_AVA_INV_DONE	^F03^C125F^C000ertig
STR_AVA_INV_STATUS	^F03^C125S^C000tatus 

STR_AVA_INV_HELP_ASTERISK	^F03* = wird getragen / ist aktiv

STR_AVA_INV_ITEMS	^F02Gegenst‰nde
STR_AVA_INV_MAGIC	^F02Mag. Gegenst.
STR_AVA_INV_SPELLS	^F02Zauber
STR_AVA_INV_REALM_SPELLS	^F02Gebietszauber
STR_AVA_INV_BLOOD	^F02Blutl.-Zauber
STR_AVA_INV_USE	^F02Benutzen
STR_AVA_INV_CAST	^F02Zaubern
STR_AVA_INV_DROP	^F02Ablegen
STR_AVA_INV_FORGET	^F02Vergessen
STR_AVA_INV_GIVE	^F02Geben
STR_AVA_INV_MEMORIZE	^F02Einpr‰gen
STR_AVA_INV_TITLEGIVE	^F13^NGegenstand geben
STR_AVA_INV_CANCEL	^F02Abbruch
STR_AVA_INV_MEM_PR	^W230^F03Vorh. Zauber des Priesters: 
STR_AVA_INV_MEM_WZ	^W230^F03Vorh. Zauber des Magiers: 
// note: the space (' ') at the end of above two strings are intentional

STR_SUCCESS	^F13^NErfolg
STR_VICTORY	^F13^NSieg
STR_DEFEAT	^F13^NNiederlage

STR_QUESTITEM_CONGRATS	^W305Gratuliere, Sie haben %s gefunden. 
STR_QUESTITEM_YOUCANLEAVE	^W305Sie kˆnnen %s hier verlassen, wenn Sie mˆchten.

STR_PARTY	Party

NEWBLOCK
//this block used to be GameStr.c
STR_ALIGNMENT_NON_ALIGNED	Ohne Gesinnung
STR_ALIGNMENT_LAWFUL_GOOD	Rechtsch. gut
STR_ALIGNMENT_LAWFUL_NEUTRAL	Rechtsch. neutr.
STR_ALIGNMENT_LAWFUL_EVIL	Rechtsch. bˆse
STR_ALIGNMENT_NEUTRAL_GOOD	Neutr. gut
STR_ALIGNMENT_TRUE_NEUTRAL	Wirklich neutr.
STR_ALIGNMENT_NEUTRAL_EVIL	Neutr. bˆse
STR_ALIGNMENT_CHAOTIC_GOOD	Chaot. gut
STR_ALIGNMENT_CHAOTIC_NEUTRAL	Chaot. neutr.
STR_ALIGNMENT_CHAOTIC_EVIL	Chaot. bˆse


STR_ARMOR_NO_ARMOR	Keine R¸stung
STR_ARMOR_BANDED_MAIL_ARMOR	B‰nderpanzer
STR_ARMOR_BREAST_PLATE	Brustpanzer
STR_ARMOR_BRIGANDINE_ARMOR	Lamellenpanzer
STR_ARMOR_BRONZE_PLATE	Bronzeplattenpanzer
STR_ARMOR_FIELD_PLATE	L. Ritterr¸stung
STR_ARMOR_FULL_PLATE	Ritterr¸stung
STR_ARMOR_HALF_PLATE	Brustplatte
STR_ARMOR_HIDE_ARMOR	Fellr¸stung
STR_ARMOR_IMPROVED_MAIL	Verst. Kettenhemd
STR_ARMOR_PLATE_MAIL	Plattenpanzer
STR_ARMOR_RING_MAIL	Ringr¸stung
STR_ARMOR_SCALE_MAIL	Schw. Kettenhemd
STR_ARMOR_SPLINT_MAIL	Schienenpanzer
STR_ARMOR_LEATHER_ARMOR	Lederwams
STR_ARMOR_PADDED_ARMOR		Verst. Lederwams
STR_ARMOR_STUDDED_LEATHER_ARMOR	Beschl. Lederwams
STR_ARMOR_CHAIN_MAIL	Kettenhemd

STR_BLOOD_STRENGTH_TAINTED	Verdorben
STR_BLOOD_STRENGTH_MINOR	Schwach
STR_BLOOD_STRENGTH_MAJOR	M‰chtig
STR_BLOOD_STRENGTH_GREAT	Dominant

STR_BLOOD_DERIV_ANDUIRAS	Anduiras
STR_BLOOD_DERIV_REYNIR	Reynir
STR_BLOOD_DERIV_BRENNA	Brenna
STR_BLOOD_DERIV_BASAIA	Basaia
STR_BLOOD_DERIV_MASELA	Masela
STR_BLOOD_DERIV_VORYNN	Vorynn
STR_BLOOD_DERIV_AZRAI	Azrai


STR_AVATAR_GARGOYLE	Gargoyle
STR_AVATAR_OTYUGH	Otyugh
STR_AVATAR_ARCHER	Sch¸tze
STR_AVATAR_LIGHT_CAVALRY	L. Kavallerie
STR_AVATAR_ELITE_INFANTRY	Elite-Infant.
STR_AVATAR_INFANTRY	Infanterie
STR_AVATAR_IRREGULAR	Irregul‰rer
STR_AVATAR_HEAVY_CAVALRY	Ritter
STR_AVATAR_LORD	Lord
STR_AVATAR_OFFICER	Offizier
STR_AVATAR_PIKEMAN	Pikenier
STR_AVATAR_WYVERN	Flugdrache
STR_AVATAR_ANKHEG	Ankheg
STR_AVATAR_OGRE	Oger
STR_AVATAR_HELL_HOUND	Hˆllenhund
STR_AVATAR_HARPY	Harpyie
STR_AVATAR_SKELETON	Skelett
STR_AVATAR_GIANT_SPIDER	Riesenspinne
STR_AVATAR_SPECTRE	Gespenst
STR_AVATAR_WRAITH	Todesalb
STR_AVATAR_DWARF_ARCHER	Zwergen-Sch¸tze
STR_AVATAR_DWARF_INFANTRY	Zwergen-Infanterie
STR_AVATAR_DWARF_OFFICER	Zwergen-Offizier
STR_AVATAR_ELF_ARCHER	Elfen-Sch¸tze
STR_AVATAR_ELF_OFFICER	Elfen-Offizier
STR_AVATAR_ELF_INFANTRY	Elfen-Infanterie
STR_AVATAR_GOBLIN_ARCHER	Goblin-Sch¸tze
STR_AVATAR_GOBLIN_CAVALRY	Goblin-Kavallerie
STR_AVATAR_GOBLIN_INFANTRY	Goblin-Infanterie
STR_AVATAR_GOBLIN_ZOMBIE	Goblin-Zombie
STR_AVATAR_GOBLIN_OFFICER	Goblin-Offizier
STR_AVATAR_GOBLIN_QUEEN	Goblin-Kˆnigin
STR_AVATAR_ZOMBIE	Zombie
STR_AVATAR_MERC_INFANTRY	Sˆldner-Infanterie
STR_AVATAR_ELF_LADY	Elfen-Dame
STR_AVATAR_MERC_OFFICER	Sˆldner-Offizier
STR_AVATAR_MERC_PIKEMAN	Sˆldner-Pikenier
STR_AVATAR_DOG	Hund
STR_AVATAR_WIZARD	Zauberer
STR_AVATAR_CHIEF	Anf¸hrer
STR_AVATAR_GUARD	Wache
STR_AVATAR_LIEUTENANT	Leutnant
STR_AVATAR_GUILDER	Gildenmeister
STR_AVATAR_PRIEST	Hoher Priester
STR_AVATAR_PRIESTESS	Hohe Priesterin
STR_AVATAR_ELF_LORD	Elfen-Lord
STR_AVATAR_ROGUE	Bandit
STR_AVATAR_ROYAL_GUARD	Kˆnigliche Wache
STR_AVATAR_DWARF_LORD	Zwergen-Lord
STR_AVATAR_GOBLIN_KING	Goblin-Lord
STR_AVATAR_WARRIOR	K‰mpfer
STR_AVATAR_DWARF_GUARD	Zwergen-Wache
STR_AVATAR_ELF_GUARD	Elfen-Wache
STR_AVATAR_GNOLL_1	Gnoll
STR_AVATAR_GNOLL_IRREGULAR	Gnoll-Irregul‰rer
STR_AVATAR_GOBLIN_GUARD	Goblin-Wache
STR_AVATAR_GORGON	Gorgon
STR_AVATAR_RHUOBHE	Rupp Heldentˆter
STR_AVATAR_SPIDER_KING	Spinnenkˆnig
STR_AVATAR_ASSASSIN	Attent‰ter
STR_AVATAR_MERC_ARCHER	Sˆldner-Sch¸tze
STR_AVATAR_MERC_CAVALRY	Sˆldner-Kavallerie
STR_AVATAR_MERC_IRREGULAR	Sˆldner-Irregul‰rer
STR_AVATAR_LEVY	Wachleute
STR_AVATAR_SCOUT	Sp‰her
STR_AVATAR_ELF_CAVALRY	Elfen-Kavallerie

STR_BB_TITLE	^F13^NSchlacht
STR_BB_MYLIST	Eigene Armee
STR_BB_HISLIST	Feindl. Armee
STR_BB_ADD	Einheit hinzuf.
STR_BB_REM	Einheit wegneh.
STR_BB_RELOAD	Armeen neu laden
STR_BB_RESTART	Szen. neu starten
STR_BB_PRACTICE	‹ben
STR_BB_FIGHT	Schlacht ausf.
STR_BB_TROOPS	Einheitenliste anz.
STR_BB_SCENARIOS	Szenarios anz.
STR_BB_ANUIRIEN	Anuirisch
STR_BB_ELVEN	Elfisch
STR_BB_DWARVEN	Zwergisch
STR_BB_MERC	Sˆldner
STR_BB_GOBLIN	Goblin
STR_BB_GNOLL	Gnoll
STR_BB_MONSTERS	Monster
STR_BB_REGENTS	Regenten
STR_BB_LIEUT	Leutnants
STR_BB_PLAINS	Ebene
STR_BB_MOUNTAINS	Berge
STR_BB_FOREST	Wald
STR_BB_SWAMP	Sumpf

STR_BB_RESTART_TEXT	Die ganze Schlacht¸bung neu starten, wieder mit Szenario 1 beginnen?
STR_BB_SCENARIO_TEXT	^F02Szenario ^F03%d ^F02von 30

STR_BB_SCENARIO_LABEL	Schlacht-Szen.
STR_BB_SCENARIO_NAME1	Fuﬂtrupp.
STR_BB_SCENARIO_NAME2	Fuﬂtrupp.
STR_BB_SCENARIO_NAME3	Berittene Trupp.
STR_BB_SCENARIO_NAME4	Schieﬂende Trupp.
STR_BB_SCENARIO_NAME5	Berittene schieﬂ. Trupp.
STR_BB_SCENARIO_NAME6	Gel‰nde f¸r Fuﬂtrupp.
